接受美国CBS记者麦克·华莱士的节目访谈

江泽民：	时光荏苒。	Jiang:	Time flies very fast.
江：	人们也用这个成语来形容邓小平的性格。我不敢和他相比。但是我可以讲一句，我这个人的性格还是比较果断的，这是肯定的。	J:	People use the same phrase to describe the character of Deng Xiaoping, I don't think I should be put on the power of Deng. But one thing of myself is that, fore sure is that I'm a decisive fighre.
华：	不过这也意味着，您是强硬派，像一支针。	W:	But That also would seem to mean, you are a tough fighre. A needle.
江：	事实上，“绵里藏针”在中文里是个很高的评价，所以我还是觉得我应该谦虚一点比较好。	J:	In fact, "a needle wrapped in silk" is a very high compliment in Chinese, so I think I should be more modest.
华：	请用几句话来描述一下当今的中美关系，主席先生？	W:	Outside we've talk about relations about the United States and China. In a few words, how would you characterize the state of relations between China and the United States today, Mr President?
江：	我认为中美关系关系总体来说是好的，但我也会用人们形容天气的话来形容中美关系：我们之间的关系经历了风风雨雨有时多云，有时甚至乌云密布。但是，有时也会雨过天晴。大家都有一种良好的愿望使得我们两国的关系向一种建设性的战略伙伴关系前进。	J:	On the whole, the relations between China and the United States are good. However, I would like to use words people used to describe nature to describe the state of China-US relations. Our relations have experienced wind, rain and sometimes cloud or even dark clouds or even dark clouds. However sometimes it clears up. We all sincerely hope to build a constructive partnership between China and the United States.
华：	您刚才的辞令政客腔十足，毫无诚意可言。最近你们的一份官方报纸《中国日报》将美国称为“世界和平的威胁”。您也这么认为，认为美国对世界和平构成威胁了吗？	W:	That's spoken like a real politician. There's no candor in it. In a recent headline in your government or one of your government newspapers China Daily, the paper called the US "a threat to world peace". You feel that way that the United States is a threat to world peace?
江：	我觉得“政客”这个词不怎么好听。	J:	I don't think "politician" is a very nice word.
华：	不，这不是溢美之词，这，在这里这只是个婉转说法。	W:	No, it's not a nice word, it's,it's a, it's a diplomatic word in this case.
江：	“政治家”怎么样？	J:	"Stateman"?
华：	换言之，您到底认不认为美国对世界和平造成威胁？如果是的话，那我们在哪些方面威胁了世界和平？这是防长威廉科恩访华时的报道。	W:	In other words, look, either you believe that United States is a threat to world peace, or you do not? Which is that? And if so, in what way are we threat to world peace? That was the headline when Defense Secretary William Cohen came here to China.
江：	应该这么说.....我在美国有很多的朋友，民主党和共和党都有不少。每次与他们会晤的时候，我们都带着极大的诚意与友好来深入交换意见。所以坦白说，或许是因为美国享有强大的经济和科技力量，使得它不由自主地高估自身实力以及它在世界上的地位。今天我想向美国人民传达一个友好的信息，但我还是想说，在美国的领导观念之中还是盛行着一种霸权主义之风。	J:	I have a lot of friends in the United States, both Democrats and Republicans. And every time I have meeting with them, we exchange views and great candor and great frankness. So candidly speaking, maybe it is because of the strong economic power and leading edge in science and technology that the United States enjoys, that more often than not it tends to overestimate itself and its position in the world. Today I want to convey a friendly message to the American people. But I do want to say there may be a certain touch of hegemonism in the leadership of the United States.
华：	那份报纸好像还说美国“穷兵黩武”，这是它说的，“穷兵黩武”。	W:	That seem newspaper said that United States is "power man", I quote, "power man".
江：	我今天与你交谈，我很希望给美国人民一个信息，促进我们中美两国人民相互之间的友谊与了解。所以，如果可以的话，我不喜欢用太多的很严厉的字眼来进行交谈。刚才我讲得很清楚，你们经济那么发达，你们的科学技术力量那么发达，所以你们有一种比较高的优势地位，往往表现的态度可能不能够对其他的所有的国家采取一种非常平等的地位。	J:	Well, as I said to you earlier, I hope that our talk today, I would be able to convey a message of friendship and mutual understanding between the Chinese and the American people. So if you permit, I would like to refrain from using too much tough words in our conversation. I think that I've made myself very clear, when I said the United states enjoyed a developed economy, and also a leading edge in science and technology. This has put you in a rather advantage position. And very often makes you feel more equal than the rest of the world.
华：	您的意思是我们看不起中国？我们在亚洲太突出了吗？	W:	You mean we look down on China? We are too prominent in Asia?
江：	我也不是单单说你们单纯的针对中国，中国是一个有五千年历史文化的国家，而且我们有12亿多人口，中国已经通过这20多年的改革开放，有了相当的经济基础，所以恐怕你们还不太敢小看中国。	J:	Well, I'm not talking about the United States' attitude towards China in particular. China is a country with 5,000 years of history, and also more than 1,200,000,000 people. We have accumulated a significant economic foundation over the past 20 years of the reform and opening-up. So I'm afraid the United States simply cannot afford to look down on China.
华：	我明白了。请允许我问一句，您年轻时学英语的时候，是不是学习过托马斯杰弗逊和亚伯拉罕林肯的演说？	W:	Understood. Let me, if I may, you studied the speeches of Thomas Jefferson and Abraham Lincoln as a youngster when you were learning English?
江：	也不是很小的时候，其实是我中学时学的。后来我在上海的夜校做老师时，我曾经选过林肯的葛底斯堡演说这门课。你可能会希望我引用演说中的一些片段。	J:	In fact I was in middle school. And later, when I was a teacher in the night school in Shanghai, I also selected Lincoln's Gettysburg Address as a part of my course. And you maybe want me to quote some lines from that speech.
华：	我很期待。	W:	I do indeed.
江：	“先人立国已逾八十有七载。立国以自由，众生平等乃国本也。”	J:	"Four score and seven years ago, our fathers brought forth on this continent a new nation, conceived in liberty and dedicated to the proposition that all men are created equal."
华：	为什么，为什么你熟背这一段？	W:	Why, why did you learn that by heart?
江：	我就说我对“众生平等”这句话很感兴趣，因为这句话在我年轻上中学的时候，对一些学生有过很深的影响。而且我认为演说中亚拉伯罕林肯所描述的理想仍然是现今美国领导人所努力的目标。特别是最后一段：“民有、民治、民享之政必永续于世。”	J:	I'm particularly interested in the phrase, "all men are created equal". Because this has a great influence on some of students when I was young in the middle school. And I think what Abraham Lincoln described in the article still remains the goal of American leaders today. Especially the last paragraph: "The government of the people, by the people and of the people, never perish from the earth."
华：	亚伯拉罕林肯是由人民选出来的，不是吗？	W:	And Abraham Lincoln was elected by the people, correct?
江：	对啊。	J:	That's right.
华：	那为什么美国人民能自己选举出他们的国家领导人，而你们显然不相信中国人民有能力选出你们自己的国家领导人，为什么？	W:	Why is that Americans can elect their national leaders, but you apparently don't trust the Chinese people to elect your national leaders? Why?
江：	我想告诉你，我相信我也是被选出来的领导人，尽管我们的选举制度不同。中美在这个问题上唯一的不同就是我们采用了不同的选举制度，因为我们有自己的历史传统、文化水平、经济发展水平和社会发展水平等等，所以我认为每个国家的选举制度要根据它自己的情况确定。	J:	I want to tell you that I also believe that I'm an elected leader, although we use different ways of election. The only difference between China and the United States on this specific question is the different system of election we use in our two countries, because China has its own historical tradition, its own level of education and economic development and social development and so on. So I think each country should have its own individual system of election.
华：	那是自然，但我还是不明白，为什么你们要搞一党专政？如果中国有两个或者三个党会怎样，到底会怎样？或者这样是否可行，像美国一样，让几个党相互竞争，以代表大多数国民，来让国家更加美好？	W:	Of course. But I don't understand still why you have a one-party state. What would happen, what would happen in China, if there were 2 or 3 parties? Isn't it conceivable, as the United States, the competition between the parties to represent the majority of the people in their country make for a better country?
江：	因为我就是说有反对党又有什么用呢？这说明你没有很好地读中国的历史。美国总认为整个世界都应该按照美国这种政治制度去行事，这是非常不够明智的。	J:	Why is there necessary to have opposition parties? It shows you don't understand Chinese history. America thinks the whole world should adopt American values and American political system, I don't think that is wise.
华：	这可不只是美国，英国如此，德国法国也如此……我想说的是全世界都采用了这种制度。你已经是世界上最后一位大独裁者，世界上最后一个共产党大独裁政权了。	W:	It's not the American, it is the British, it is the Germen, it is the French, it is… I mean it's all over the world. You are the last major dictatorship, the last major Communist dictatorship in the world.
江：	你说我是独裁者？	J:	You mean I'm dictatorship?
华：	没错，你们一种发展中的独裁，我们是这么看的，难道我说错了吗？	W:	Well, of course, a developmental dictatorship is what, is what we believe it is. Am I wrong?
江：	当然错了，错得很离谱。	J:	Of course. This is a big mistake.
华：	错得很离谱？	W:	Big mistake?
江：	当然了，看来你还没有看透中国的本质。	J:	Of course. It shows you do not know China that well.
华：	噢，我确实不了解中国。我在这没待多久。	W:	Oh, I don't know China that well, I've been here, haven't dozens of times.
江：	我想问你一个问题，你说的独裁是什么意思？	J:	Would you please tell me what means dictatorship?
华：	独裁？当你们限制新闻自由的时候就是了。在这里根本没有新闻自由，完全看不到。	W:	Dictatorship? When you don't have the freedom of the press, and there's no freedom of the press here, there's not. That's a perfect example.
江：	你的意思是在中国，没有新闻自由。	J:	You mean in China, there's not.
华：	对，在中国这里。我们明白公民自由与新闻自由之间的关联，您曾经讲过新闻应该是党的喉舌，您又说过，和毛泽东一样，说要坚持政治家办报。你们为什么这么怕新闻自由？	W:	Here, here, in China, yes. We see a connection between freedom of the people, and freedom of the press. You've said the press should be the mouthpiece of the party. You've also said, as Mao Tsetung did, newspaper must be run by politicians. What do you fear from free press?
江：	我想不管哪个国家哪个党派，都应该拥有它自己的新闻机构宣传它们的主张。正如我前面所说的，中国的政治制度时由中国共产党领导的多党合作制度。而且我们确实拥有新闻自由。我们所有的全国的各种电视台大概有两千多家，而且地方报纸有两千多种、我们的杂志有八千多种、我们每年也会出版超过十万多种新书。即使是毛泽东，他当年也主张过文艺工作要“百花齐放，百家争鸣”。	J:	I think for every individual country or any individual party, they always have their own publications to promote their own ideology. As I explain to you, the Chinese system is multi-party system led by the Communist Party. And we do have the freedom of the press. We have over 2,000 TV stations in the country. We have more than 2,000 local newspapers and more than 8,000 magazines. We publish more than 100,000 new books each year. Even Mao tsetung advocated the policy of allowing "one hundred different flowers to bloom, and one hundred different sores of schools of thought" contend in the field of art literature.
华：	百花齐放？	W:	Let a hundred flowers bloom?
江：	对啊。	J:	That's right.
华：	想想就很可怕。	W:	And that was a disaster.
江：	当然，但是这个方针是正确的。直到今天我们还是推行这个方针的。	J:	But the direction was right, even today, we still pursue the same direction.
华：	嗯，四年前，主席您去了《人民日报》报社，算是真正的报社了，您对他们说过，即使是一篇文章，哪怕一句话讲错了都可能会导致政局不稳。新闻什么时候变得这么厉害了？似乎你们的一党专政制度面对新闻自由会变得岌岌可危。	W:	Well, look, 4 years ago, president. You went to People's Daily, which is the real paper there,and you said the following, you said, just one article, one erroneous remark or one mistake of the press may lead to political instability. Is the press that powerful? That makes, that makes you one-party rule seem remarkably precarious.
江：	四年前我去过人民日报社参观这点你说的没错，但是好像我的原话并不一定是这样讲的。我只是说明这么一个问题，就是这么大一个国家，我们有12亿多人，新闻的对国家的导向确实是很重要的。你不能用美国的价值观来对中国的现状做评判，因为你们在经济、国民教育水平上高度发达，你更不能把美国模式强加于中国。不管中国媒体还是外国媒体，我都认为有一点很重要，那就是不能歪曲事实，即便他们自己由发表言论的自由。这对中国媒体很重要，特别是我们的《人民日报》，我们的老百姓非常重视。如果它把某一个事实报道错误了，人们会信以为真。我们不像你们那儿，你们想报道什么就报道什么，就算你们的报道出了什么错也无所谓，不会有很严重的后果。比方说，我现在正在北戴河这儿跟你交谈，但是我已经看到了一些外国报纸说我已经到了大连了。如果是真的话，那我现在怎么可能坐在这里跟你聊天？我再告诉你另一件事。几个月前，我看到一则消息说“江泽民访问厦门，突遭炸弹爆炸重伤送院”，但那时候我还在北京。	J:	You were right in saying that I did make a visit in people's daily back 4 years ago, but I'm afraid I never put things that way. So there may be a certain distortion about what I really said. What I want to explain to you is that we are such a big country with the population of over 1,200,000,000, that direction on media tries to lead our country toward is important. You cannot possibly try to use the American values to make judgements about China, because you are highly developed in you economy, and your level of education. You cannot possibly try to make China to same as the United States. I think for both Chinese media and the foreign media, one thing is very important. They should never distort the fact, though they are free to their on opinion. This is very important for the Chinese media, particularly the People's Daily, because it is the major newspaper for the Chinese people. If there's a mistake in the newspaper, people will believe what they read. The situation is different from yours, you can report ant any story anyway you want. Even if you make mistakes in your newspaper, it won't make serious consequences. For example, I'm here right now, talking to you, in Beidaihe. I've read some foreign papers that say I'm in Dalian right now. If there reports were ture, how could I possibly be sitting here talking to you? And I will tell you another thing. A few month ago, I read a piece of news from the Internet saying, that was Jiang Zemin was visiting the army in Xiamen, there was a very serious explosion, and Jiang Zemin was severely hurt in hospital rest, However, at that time, I was in Beijing.
华：	嗯，您说的肯定没错，我们还有你们的媒体都犯过错什么的。不过，既然我们谈到了独裁，啊，我现在居然居然指着堂堂中国国家主席，我希望你不要把我分配到……	W:	Look, you're absolutely right. There're mistakes made in your press, in our press and so forth. But when we talk about dictatorship, I'm, I'm riding my finger at the President of China. I hope you'll not send me off to… urr…
江：	你们和我们的媒体都犯过错，不过我们的影响更大。	J:	Your press and our press both made mistakes, but the influence is greater.
华：	啊，我们只有2.5亿人口，只不过是中国的五分之一。我也努力理解您肩负着13亿人的民生大计，或者说世界上五分之一人的命脉，那很不得了。您，您难道从来没有私下对自己说过，说，江泽民，我统治者站地球总人口五分之一，这么大一个国家。	W:	Well, we are a quarter of billion, only about one-fifth the population of China. And I want to get to the business about you're running the lives of 1,300,000,000 people, one out of every five people on earth. That's astonished. Do you, do you never say to yourself at home, you'll say Jiang Zemin, I, I am the chief of one out of every five people on earth.
江：	我们就来谈谈中国的人口问题。我们大概每一天有5万多新的婴儿出生，一年近2000万人，而且这是在严格的计划生育的条件下还有这么大的增长率。所以正如你所说，我确实经常考虑怎么使得我们12亿多人生活得幸福，水平不断地提高，很难呐。	J:	Let me say about the Chinese population. Everyday 52.000 babies are born in our country. This will add up to 20,000,000 a year. And this significant growth of our population has been seen under very strict family planning policy. So I often ask myself, how to ensure a happy life in constantly improve living standards for the 1,200,000,000 Chinese people. This is indeed, a very tough job.
华：	载谈话一开始，在你们中国人习惯称作“房间”的地方，邓小平对您讲过，“我希望你成为下一任领导班子的核心，我希望你成为大当家”，您当时只是很前辈谨慎地说：“我觉得如履薄冰”，很明显您并不是在害怕，但您当时肯定已经有所准备，是在考虑自己是否做好了挑起这副担子的准备？	W:	At the very beginning of your, room if you want to call it they way, here in China, when Deng Xiaoping said to you, "I want you to be at the core, I want you to be the man who leads". You are quotative heavily said, "I feel as low I am on thin ice", not that you were afraid, but surly you must have ready, you were ready, you were ready to take on your responsibility.
江：	今天我可以给你坦率地讲，我从上海市委书记，上海的No.1，到北京来的，我丝毫没有这个准备来当全中国的领导人，我是希望能够考虑比我更能干更合适的人。最后，我们的邓小平等老一辈的领导人认为我是合适的，同时我是经过中央委员会的正式选举产生的。最后，我只能是“鞠躬尽瘁，死而后已”了。	J:	Let me be very frank with you, before coming to Beijing, I was the No.1 in Shanghai, the Party Secretary. I had no intention of leading the whole country here, and I hope that more capable candidate will take the job. But Deng Xiaoping and other leaders from the old generation believe I was the appropriate candidate. So I was selected to be the General Secretary of the Communist Party. Now I can only "devote myself to do anything I can to serve the country and my people until the last minute of my life".
华：	那是自然，不过，不过……您从来没在中国军队例服过兵役吧？说对了。那可是您重要的职责之一，您是国家军委主席。	W:	Of course, but, but, you've never served in the army forces of China, right? Correct. One of the most important parts of your job, you are the chairman of the state commission of military, right?
江：	中央军委。	J:	Military committee.
华：	中央军委？让一个从来没服过兵役的人当领导，像比尔克林顿一样？您对军队非常苛刻，不是吗？	W:	Military committee? A man who's never served in the army forces, like Bill Clinton. You have been tough on the army, Haven't you?
江：	正如你说的，我确实没在军队里服过役，因为我是一名知识分子。	J:	You were right. I've never served in the army in the military because I am an intellectual.
华：	在美国，知识分子也要服兵役的，总统先生。	W:	In the United States, an intellectual serves in the army, Mr. President.
江：	是的，你说的没错，现在为止我已经做了将近11年的中央军委主席了。我自认为对军队有着十足的把握。作为主席，我用不着亲自去打枪或者开飞机，我的职责是做好战略决策。	J:	That's ture. I haven't said that though. I have served as chairman of the central military commission for 11 years. I think I have the confidence of the army. As chairman, I don't personally need to fire a gun or fly a airplane. My responsibility is to make strategic decisions.
华：	不过您做了一个相当重要的决定。军队以前是可以经商的。	W:	But you've made a very serious decision. The army, the army forces used to be in business.
江：	噢，这是我做的决定。	J:	Oh, this is my decision.
华：	我知道，这是两年前的事了。两年以前，您对军队说：“你们不是商人，军队一律不得经商！”，为什么？	W:	I know it, 2 years ago. 2 years ago, you said to the army, "out of business, you are the army! You are not business people!" Why?
江：	我认为部队经商是一个腐蚀剂。因为历史经验已经告诉我们，任何一个国家如果军队经商以后，没有一个不腐败的，最后必然是涣散了军心。	J:	I think the army is allowed to do business and that would erode our army. Because history has told us that any army that is allowed to engage in business eventually becomes corrupted and that would destroy the marrow and the flighting will of the army.
华：	您提到了腐败这个问题。天安门过后一个月，这个小插曲过后一个月，您写了一篇演说，里面说：“腐败已经在党内根深蒂固，无处不在，罪孽深重。如果我们所有的党政机关都利用他们手中的权力谋取物质利益，这与光天化日之下攫取人民又有什么区别？” 那些在天安门的学生也在激烈地反对您说提到的腐败问题，因此显然他们对您和你们的党会有一些影响。	W:	You raise the subject of corruption. One month after Tiananmen, one month after that episode, you wrote a speech. And in it, you said, "corruption is growing in the soil, in the air, in lots of crimes. If all our party and our government organs use their power to seek material benefits. Isn't this just like fleecing the people in broad daylight?" Those students in Tiananmen had also been protesting against the corruption that you talked about. So apparently they did have some effect on you and on your Party.
江：	我认为腐败是个历史问题，古今中外，概莫能外。但我们一直坚决地反对腐败。我国已经出了好几桩严重的腐败案件。我个人非常痛恨腐败，但我不认为这个问题能在一夜之间解决。为了逐步根除腐败，我们需要依靠法治的办法，用舆论的办法、教育的办法逐步地把它解决。89年风波期间的确有学生高呼反对腐败的口号，所以在这个特定的问题上，我们党和青年学生是站在同一战线上的。但事实上还有一小撮别有用心的人，企图利用学生的热情，妄图推翻中国共产党的领导并颠覆人民民主专政权。我们不能允许这种事情发生。我们要采取坚决的措施，否则我们就会失去努力维系至今的稳定，这无论对中国还是对世界都没好处。	J:	I think corruption is a historical phenomenon, in that it happened in different countries in the ancient times, and it still happens in different countries today. We have been fighting resolutely against corruption. There've been very serious corruption cases in our country. I hate corruption very much, but I don't think the problem can be solved overnight. And in order to gradually eradicate the problem, we need to depend on our legal system, on our media, and also on improved education. You were right that during the disturbance of 89, some students were chanting slogans against corruption, so the specific point, the Party shares the same position with the students. But the fact is that there're some people with ulterior motives who are trying to use the enthusiasm of the students to overthrow the leadership of the Chinese Communist Party and overthrow the socialist government, this will never be allowed. So we have to take resolute measures. And had we not done so, we would not have the national stability we have today, a stability that benefits China and the rest of the world.
华：	您以前在上海也是一名抗议学生。	W:	You were a student protestor, in Shanghai.
江：	在上海，没错。	J:	In Shanghai, that's right.
华：	在国民党时代，高呼“我们要自由，我们要民主！”的是您没错吧。	W:	At the time of the Nationalist, we want freedom, we want democracy, that was you.
江：	没错。	J:	That's right.
华：	而这恰恰也是那些在天安门广场上的人们所呼喊的“我们要自由，我们要民主！”，不是吗？	W:	And that was those folks, that was those people in Tiananmen Square were saying, "we want freedom, we want democracy".
江：	我最初参加学生运动实在中国抗日战争期间，而在二战结束后，我们又开始反抗国民党政权，这是因为在那之前，这个国家根本没有自由民主可言。但自从中华人民共和国成立以来，我们就一直在为努力推动国家的民主化而奋斗。即便是在我所说的1989年的动乱期间，我们仍然能够理解学生呼吁更加民主与自由的爱国热情。而事实上，我们知道今天也在不懈地为推动我们的民主体制而努力工作。但关键在于，我们是绝无可能容许那些别有用心的人利用学生运动来颠覆政府的。	J:	I first joined the student movement against the Japanese military in China. And after World War II, we were against the Nationalist regime. Because back then, there was no freedom and democracy in the country. But ever sincr the People's Republic of China was founded, we've always been working to further promote the democracy in our country. Even in the 1989 disturbance as I told you before, we could understand the passions of students who are calling for greater democracy and freedom. And we in fact, have always been working constantly up to today to improve our system of democracy. And the crux of the matter was that we could not possibly allow those people with ulterior motives to use student movement to overthrow the government.
华：	再问一个关于独裁的问题。	W:	One more question about,… dictatorship.
江：	但说无妨。	J:	That's right.
华：	您封锁了互联网，您封掉了一些网站，在中国这里，BBC，华盛顿邮报，为什么？为什么要封掉这些网站？你们那么担心人们会从网上看到并且了解到什么信息吗？	W:	You bring uo the Internet. You have blocked Internet sites, here in China. The BBC, the Washington Post, why? Why block an Internet site? You don't trust the people, somehow to be able to pick stuff up off the Internet and learn?
江：	关于这个问题实际上刚才我对你谈新闻自由时已经谈过了，我们希望通过互联网获得很多有用的信息，但是有时互联网上也有许多不健康的东西，特别是色情内容，对我们的青年一代是十分有害的。	J:	Well, about the internet, I think we discuss this issue before when we were talking about freedom of the press. We hope that we could learn a lot of useful things and useful information from the Internet, however, sometimes there's also unhealthy stuff especially pornography on the Internet, which does great harm to our youngsters.
华：	但是这些玩意儿BBC和华盛顿邮报的网站上并没有。	W:	Not from BBC, and not from the Washington Post.
江：	像你刚才提到BBC啊，华盛顿邮报啊，他们被封锁是因为一些政治新闻，这一点我们要有选择性，正如美国同样有选择性。一句话，是希望从因特网中接收有益于中国发展的信息，不管是文化的、经济的，各方面的。但是我们希望尽可能地限制一些不利于我们的。	J:	As for example you've given, such as BBC and the others, they might be banned because of some of their political news reports. We need to be selective. We hope to restrict as much as possible information not conducive to China's development.
华：	新的话题，您可能不太愿意谈及：人权问题。您迫害了一些基督徒。您还迫害了一个叫法轮功的东西。到底是为了什么，有什么理由，对这种精神层面的事业，就我的理解而言，我还在纽约偶遇了那个人，那男的名字叫李什么来着……	W:	New subject, one you're not going to want to talk about: Human rights. You persecute Christians. You persecute something called Falun Gong. What in the world, for what reason, this spiritual undertaking, according to my understanding, and I had met the man in New York. The man whose name is Li…
江：	李洪志。	J:	Li Hongzhi.
华：	李，李洪志？我跟他碰面了。	W:	Li, Li Hongzhi? I met him.
江：	你跟他碰面了？	J:	You met him?
华：	对啊，我坐下来跟他谈了，就像这样。他们锻炼身体，他们相信某种超然的精神状态，究竟是为了什么让您如此焦虑，以至于要去拷打、逮捕、杀害他们呢，到底为什么？	W:	Yes, I sat down with him like this, like this.And they do exercises, they believe in a certain spiritual life. What is it that worries you so about Falun Gong that you torture, arrest, kill, etc. What is it?
江：	首先我想问问你，你也信法轮功么？	J:	At first I would like to ask you that you also trust Falun Gong?
华：	信？我对他们一无所知好吗。	W:	Trust them? I don't know enough about them.
江：	我来告诉你。李洪志自称是释迦牟尼转世的转世，还是基督徒耶稣的化身，你信吗？他说地球末日就要来临，地球快要爆炸了。他还声称，我和李鹏总理致电给他请求他把地球爆炸的日期延后几十年。但我们从来就没有向他请求过。我想说的是他就是企图通过这些宣传来获得信徒的信任，他希望给人留下一种“他跟中国领导人很熟”的印象，其实他在胡说八道。事实上，由于他的传教，许多家庭破裂，许多人也因此丧命。因此经过谨慎的考虑，我们认为法轮功是邪教。	J:	I'll tell you. Li Hongzhi claims to be the reincarnation of the chief Buddha, and also a reincarnated Jesus Christ. Do you believe that? He said that doomsday was about to come and he also said the earth was going to explode. He also claims that I and Mr. Li Peng former Premier, used to call him on the telephone, asking him to delay the date of the explosion of the earth maybe of several decades. But we've never talked to him. Well, I make all his claims he wants to achieve nothing but people's trust, people's belief in him. He wants to create the impression that he knows the Chinese leaders very well. In fect, what he says are misleading words. In fact, as a result of his preaching, many families were broken and many lives were lost. So after careful deliberations we drew the conclusion that Falun Gong is a cult.
华：	听着。你们迫害了基督徒，这众所周知。你们又迫害了法轮功。很难，很难理解为什么向中国这样的大国会因为信仰去迫害自己的人民。	W:	Look, you have persecuted Christians. It's well known. You have persecuted Falun Gong. It's difficult, it is difficult to understand why a big power like China would want to persecute people because of their religion.
江：	我想澄清一点。刚才你混淆了两个概念：基督教和法轮功。在中国宪法保护下中国人民有宗教信仰自由，这同样包括了对于基督教的信仰。但是法轮功是邪教，它和基督教不一样。我还是大学生的时候，有时也会参加平安夜晚会。	J:	One Thing we have to make clear. Just mow, you mixed up two things: Christianity and Falun Gong. Under China's constitution that Chinese people have the freedom of religious belief, including the freedom to believe in Christianity. But Falun Gong is a cult. It is totally different from Christianity. When I was a college student, I sometimes attended Christmas Eve Party.
华：	但是您这就是在承认中国基督徒确实被共产党迫害了，不是吗？	W:	But you will acknowledge then that the Christians have been persecuted by the Communist Party in China, yes? No?
江：	不是。我要加一个说明，就是基督徒也不能违反中国的法律。	J:	No. But like anyone else, Christians should not break Chinese laws.
华：	我们来说另外一个话题吧。您听说过李文和这个名字吗？您认识这个人吗？	W:	Move to something else. You know the name of Dr. Wen Ho Lee? Do you Know the man?
江：	知道。著名科学家。	J:	I know, famous scientist.
华：	著名科学家，中国人。	W:	Famous scientist, Chinese.
江：	中国人？是海外华人。	J:	Chinese? Overseas Chinese.
华：	嗯？	W:	Hmm?
江：	海外华人。	J:	Overseas Chinese.
华：	噢，是海外华人，他在1964年来到美国，工作一路高升，最后还进了洛斯阿拉莫斯国家实验室。最后有一天发现他是一名间谍，一名专门为您服务的间谍，是这样吗？	W:	Oh, overseas Chinese. He went to the United States in 1964 and had a wonderful career, and went to Los Alamos National Laboratory, and suddenly they decided that he was a spy, conceivably for you. Was he?
江：	我可以坦率地告诉你，中国与李文和一案之间没有丝毫的瓜葛。我们只知道李文和是位著名的科学家。	J:	I can tell you frankly, China was not in any way involved in Wen Ho Lee's case. We only know about Wen Ho Lee is a renowned scientist.
华：	到你们中国和你们的科学家深入交流的著名科学家？	W:	Who came here to Chine and talked to your Scientists?
